Date,Close_AAPL,High_AAPL,Low_AAPL,Open_AAPL,Volume_AAPL,SMA_10_AAPL,SMA_20_AAPL,SMA_50_AAPL,EMA_10_AAPL,EMA_20_AAPL,RSI_AAPL,MACD_AAPL,MACD_signal_AAPL,MACD_histogram_AAPL,BB_upper_AAPL,BB_lower_AAPL,BB_width_AAPL,ATR_AAPL,Stoch_AAPL,Williams_R_AAPL,CCI_AAPL,MFI_AAPL,OBV_AAPL,Price_change_AAPL,Price_change_5d_AAPL,Price_change_10d_AAPL,Volatility_AAPL,ADX_AAPL,Parabolic_SAR_AAPL,ROC_AAPL,TRIX_AAPL,ADI_AAPL,pe_ratio_AAPL,peg_ratio_AAPL,price_to_book_AAPL,eps_ttm_AAPL,dividend_yield_AAPL,market_cap_AAPL,shares_outstanding_AAPL,revenue_ttm_AAPL,gross_margins_AAPL,operating_margins_AAPL,return_on_equity_AAPL,debt_to_equity_AAPL,current_ratio_AAPL,VIX_AAPL,US10Y_AAPL,news_sentiment_AAPL,Close_MSFT,High_MSFT,Low_MSFT,Open_MSFT,Volume_MSFT,SMA_10_MSFT,SMA_20_MSFT,SMA_50_MSFT,EMA_10_MSFT,EMA_20_MSFT,RSI_MSFT,MACD_MSFT,MACD_signal_MSFT,MACD_histogram_MSFT,BB_upper_MSFT,BB_lower_MSFT,BB_width_MSFT,ATR_MSFT,Stoch_MSFT,Williams_R_MSFT,CCI_MSFT,MFI_MSFT,OBV_MSFT,Price_change_MSFT,Price_change_5d_MSFT,Price_change_10d_MSFT,Volatility_MSFT,ADX_MSFT,Parabolic_SAR_MSFT,ROC_MSFT,TRIX_MSFT,ADI_MSFT,pe_ratio_MSFT,peg_ratio_MSFT,price_to_book_MSFT,eps_ttm_MSFT,dividend_yield_MSFT,market_cap_MSFT,shares_outstanding_MSFT,revenue_ttm_MSFT,gross_margins_MSFT,operating_margins_MSFT,return_on_equity_MSFT,debt_to_equity_MSFT,current_ratio_MSFT,VIX_MSFT,US10Y_MSFT,news_sentiment_MSFT,Close_SPY,High_SPY,Low_SPY,Open_SPY,Volume_SPY,SMA_10_SPY,SMA_20_SPY,SMA_50_SPY,EMA_10_SPY,EMA_20_SPY,RSI_SPY,MACD_SPY,MACD_signal_SPY,MACD_histogram_SPY,BB_upper_SPY,BB_lower_SPY,BB_width_SPY,ATR_SPY,Stoch_SPY,Williams_R_SPY,CCI_SPY,MFI_SPY,OBV_SPY,Price_change_SPY,Price_change_5d_SPY,Price_change_10d_SPY,Volatility_SPY,ADX_SPY,Parabolic_SAR_SPY,ROC_SPY,TRIX_SPY,ADI_SPY,pe_ratio_SPY,peg_ratio_SPY,price_to_book_SPY,eps_ttm_SPY,dividend_yield_SPY,market_cap_SPY,shares_outstanding_SPY,revenue_ttm_SPY,gross_margins_SPY,operating_margins_SPY,return_on_equity_SPY,debt_to_equity_SPY,current_ratio_SPY,VIX_SPY,US10Y_SPY,news_sentiment_SPY
2020-03-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225.40945434570312,226.2901524274799,216.74165098419292,217.31641045188894,235494500.0,227.08110809326172,251.3240173339844,283.20966064453125,229.32307859777063,246.62754341600623,38.71941074539084,-20.982246553589135,-17.994157247426614,-2.9880893061625216,305.48383259384207,197.1642020741267,43.099593770924585,14.02319012662336,28.15402099169126,-71.84597900830873,-78.47487572666104,34.20406277104347,-2185244900.0,0.09060343400053439,-0.03251675133752008,-0.1520016008857683,27.783399004772573,47.850613180743544,202.33542971604777,-17.77726620447701,-0.9247548162460807,-408644220.4783703,27.031727,0.0,1.4569219,0.0,1.21,573925818368.0,917782016.0,0.0,0.0,0.0,0.0,0.0,0.0,61.66999816894531,0.8159999847412109,0.0
2020-03-25,59.50452423095703,62.58978134258821,59.20884326429101,60.772072300693104,303602000.0,59.59007530212402,64.29079189300538,71.61304389953614,60.23965020693721,63.632141464875595,42.05417312560658,-4.232905973102838,-3.8257587361005956,-0.4071472370022424,75.49154829045702,53.09003549555374,34.844045523944594,4.253006552225559,42.07900181329091,-57.92099818670909,-54.76780150098663,42.447610214899385,-2845439200.0,-0.00550883730170193,-0.004662063116229631,-0.10859372857025296,5.745866795382337,32.43592761768368,51.52841558126917,-7.758191253831889,-0.7923387068392825,259758534.70965877,33.21151,0.0,47.763363,6.43,0.51,3189540126720.0,14935799808.0,400366010368.0,0.46632,0.31028998,1.38015,146.994,0.821,63.95000076293945,0.8579999804496765,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.78384399414062,237.64634466473402,222.2574986417705,227.0039316253124,299430300.0,224.6739486694336,248.40899047851562,281.7404345703125,229.22503594256517,244.92814347106665,40.24250015554163,-19.781213678558316,-18.351568533652955,-1.4296451449053613,300.8031430354727,196.01483792155852,42.18378123596018,14.120736976361943,36.217783796230506,-63.782216203769494,-53.475713941226964,40.655680918262306,-1885814600.0,0.01497004488224496,0.03433817946665729,-0.0951990370725383,26.87763314964251,46.2405498185035,202.33542971604777,-9.477016120536007,-0.9590469112105096,-454100240.1655097,27.031727,0.0,1.4569219,0.0,1.21,573925818368.0,917782016.0,0.0,0.0,0.0,0.0,0.0,0.0,63.95000076293945,0.8579999804496765,0.0
2020-03-26,62.635841369628906,62.69400570219573,59.70811705726626,59.74689574440357,252087200.0,59.83752784729004,64.10805187225341,71.35371940612794,60.67532132742661,63.53725574151877,46.541171058565446,-3.786588664242032,-3.817924721728883,0.031336057486850866,75.29157817407093,52.92452557043589,34.88961518937643,4.177040475012212,62.07516463346994,-37.924835366530054,-33.164166990089335,48.229125538896994,-2593352000.0,0.05262317746661038,0.05580546688736665,0.04113150475355676,5.737027942819859,31.53640626469494,51.74964289649555,-9.427307730623575,-0.8034940884230372,502024548.8047262,33.21151,0.0,47.763363,6.43,0.51,3189540126720.0,14935799808.0,400366010368.0,0.46632,0.31028998,1.38015,146.994,0.821,61.0,0.8109999895095825,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,242.1425018310547,243.62574100847263,230.87897397257882,231.31468326096316,257632800.0,226.02190246582032,246.80656967163085,280.54759979248047,231.5736661041087,244.662844267256,45.96790918394853,-17.549158650691368,-18.19108655706064,0.641927906369272,297.8926581044298,195.72048123883187,41.397673085256656,14.17224840764552,62.61902978189359,-37.38097021810642,-22.498527570334712,46.98666444133057,-1628181800.0,0.05838986531433665,0.09241171776974144,0.05894937131881317,26.206610412379774,44.15325536817708,203.74786631399522,-8.905128000828457,-0.9697627596247929,-256424770.72185123,27.031727,0.0,1.4569219,0.0,1.21,573925818368.0,917782016.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.8109999895095825,0.0
2020-03-27,60.042564392089844,62.012958412771816,59.875334574134676,61.25679266007546,204216800.0,59.10487022399902,63.797587394714355,71.04900871276855,60.56027461191083,63.20442799395411,43.534578477100034,-3.6006289513571446,-3.7744655676545356,0.173836616297391,75.07021654690713,52.524958242521585,35.338731800151784,4.075859497903784,47.58232908469454,-52.41767091530546,-43.92579159803817,49.383049753628285,-2797568800.0,-0.04140244500326129,0.08070134435067788,-0.10875270435305717,5.782736740616904,30.70113643691968,52.18741740872356,-10.053362927337728,-0.806828494903062,329760179.04068404,33.21151,0.0,47.763363,6.43,0.51,3189540126720.0,14935799808.0,400366010368.0,0.46632,0.31028998,1.38015,146.994,0.821,65.54000091552734,0.7490000128746033,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234.93011474609375,241.78092927189238,232.7330378427258,234.79106461758417,224341200.0,224.69386444091796,244.901131439209,279.196877746582,232.18392949356053,243.73591764619292,43.542270790507835,-16.175754294887156,-17.788020104625943,1.612265809738787,294.7594193517866,195.04284352663134,40.71707437166643,13.832049520551477,51.27349096992324,-48.72650903007677,-25.84706257646824,48.272609729231306,-1852523000.0,-0.02978571308391409,0.10760494902164708,-0.05350450733070211,25.576762035166784,42.21505337858825,206.14053879566387,-7.08915877452925,-0.9672695368239309,-371813542.8876784,27.031727,0.0,1.4569219,0.0,1.21,573925818368.0,917782016.0,0.0,0.0,0.0,0.0,0.0,0.0,65.54000091552734,0.7490000128746033,0.0
2020-03-30,61.75605773925781,61.92813582111078,60.44488273934441,60.76964956297266,167976400.0,59.41024513244629,63.26439189910889,70.75970909118652,60.777689725973914,63.06648796969732,46.01610921242777,-3.277212283068046,-3.6750149107372376,0.3978026276691917,73.84264594528725,52.68613785293052,33.441415395403055,3.9194103501264377,61.50708131398892,-38.49291868601108,-28.91968486663209,47.580634230022426,-2629592400.0,0.028537977425123318,0.1356687774320049,0.052020936730632794,5.426529827118097,29.925528739699793,52.60768094046245,2.6507761623158768,-0.7985071877272834,458761360.22752744,33.21151,0.0,47.763363,6.43,0.51,3189540126720.0,14935799808.0,400366010368.0,0.46632,0.31028998,1.38015,146.994,0.821,57.08000183105469,0.6700000166893005,0.0,153.08770751953125,153.44122459952303,143.32326515890932,145.6449549415778,63420300.0,139.90380859375,144.54095764160155,157.72074798583984,143.5625461873106,145.95970063299154,52.67576627886489,-4.16945451046513,-6.033776124142462,1.8643216136773324,164.6250080131728,124.45690727003031,27.790116655198744,9.830028702111818,94.28362703541504,-5.716372964584959,46.49213072231172,51.35159026108606,-137021600.0,0.07034068557452278,0.1783350670732431,0.18320778225994294,10.302900451709947,26.29373475215039,126.61289387434711,15.223650490708726,-0.6243217373830328,35705847.795142524,38.609905,0.0,11.520555,12.92,0.67,3707648344064.0,7432540160.0,270010007552.0,0.69074994,0.45671,0.3361,32.626,1.372,57.08000183105469,0.6700000166893005,0.0,242.5596466064453,243.2827355904816,235.0320976211001,237.04376970699454,171369500.0,226.84478759765625,242.78594970703125,277.94842529296875,234.070423514085,243.62389183288363,46.74371350422981,-14.306762536723198,-17.091768591045394,2.7850060543221957,289.15031884193183,196.42158057213064,38.19361803337325,13.44066175796836,69.94798494130369,-30.052015058696313,-8.382369665952552,46.52654273668157,-1681153500.0,0.032475750793368396,0.17358157982688027,0.09730464230787295,23.784419520246555,40.25724269352973,208.3896509284324,6.077364914822548,-0.9486860524957414,-230481816.47795373,27.031727,0.0,1.4569219,0.0,1.21,573925818368.0,917782016.0,0.0,0.0,0.0,0.0,0.0,0.0,57.08000183105469,0.6700000166893005,0.0
2020-03-31,61.630035400390625,63.61739674195396,61.0750298122147,61.947531717359034,197002000.0,59.44490432739258,62.83989696502685,70.45101173400879,60.93266166677695,62.92968296309668,45.85648907479537,-2.9965290710352974,-3.53931774279685,0.5427886717615524,72.95489609393728,52.724897836116426,32.192920795334416,3.8210501058130677,61.92247921990388,-38.07752078009613,-12.379458422979209,53.40142579924144,-2826594400.0,-0.0020406474033570765,0.030014546870127834,0.005655556051454846,5.188885068811145,28.624662129317873,53.011133930931784,-8.518893326182123,-0.7814689644744198,347771500.8063437,33.21151,0.0,47.763363,6.43,0.51,3189540126720.0,14935799808.0,400366010368.0,0.46632,0.31028998,1.38015,146.994,0.821,53.540000915527344,0.6980000138282776,0.0,150.6800537109375,157.43489955967067,149.58130642853416,152.29470939927032,77927200.0,140.96815032958983,144.21611404418945,157.55001708984375,144.85663846433366,146.4092580689864,51.33569080872349,-3.303327851410046,-5.487686469595979,2.184358618185933,163.6725049849099,124.75972310346901,26.982270420570035,9.688854732756438,78.08434039725842,-21.91565960274158,75.80446967262243,57.8306141493876,-214948800.0,-0.015727283709481177,0.0631658198456182,0.07600452021429493,9.980917957442436,25.633455059765847,127.14946048885062,-0.705171532749099,-0.58154637288913,-20416734.166817904,38.609905,0.0,11.520555,12.92,0.67,3707648344064.0,7432540160.0,270010007552.0,0.69074994,0.45671,0.3361,32.626,1.372,53.540000915527344,0.6980000138282776,0.0,238.94419860839844,244.1170615366453,237.5258306852523,241.54917480521604,194881100.0,227.44066925048827,240.89781112670897,276.60867950439456,234.9565644403238,243.17820676388504,45.42907857045544,-12.967824531889391,-16.266979779214193,3.2991552473248014,284.5809788223535,197.21464343106445,36.26696937704242,12.951416693212979,76.4821537868211,-23.51784621317889,-1.96493797295617,47.458986657653156,-1876034600.0,-0.014905397697552614,0.060045148957849515,0.025575924442642783,22.4089922031184,38.34754185468689,210.5038163332348,-3.73324116971808,-0.9206554046657043,-341489932.11448884,27.031727,0.0,1.4569219,0.0,1.21,573925818368.0,917782016.0,0.0,0.0,0.0,0.0,0.0,0.0,53.540000915527344,0.6980000138282776,0.0
2020-04-01,58.38723373413086,60.280073989764986,57.9558311223944,59.74203186534972,176218400.0,59.305303955078124,62.090637588500975,70.08790390014649,60.46985658811402,62.49706875081422,41.835099670996186,-3.0011571253433544,-3.431685619306151,0.4305284939627967,71.13751977352703,53.04375540347492,29.140889951825894,3.8105611181118646,42.04424955092154,-57.95575044907846,-64.82846942598607,56.93784016456245,-3002812800.0,-0.052617228680663874,-0.018776563820417924,-0.023351089411010828,4.640952637850787,28.166234974912292,53.647509699593115,-0.5367334400886691,-0.7669728611875325,236968879.0481611,33.21151,0.0,47.763363,6.43,0.51,3189540126720.0,14935799808.0,400366010368.0,0.46632,0.31028998,1.38015,146.994,0.821,57.060001373291016,0.6349999904632568,0.0,145.32968139648438,150.71827722243293,144.09718969623435,146.18000897009344,57969900.0,142.0869567871094,143.335213470459,157.28371307373047,144.94264627017924,146.30644124303382,48.38960674445778,-3.0139041538570552,-4.992930006448194,1.979025852591139,160.8143668405415,125.85606010037648,24.389196411508358,9.469728503716592,60.72540415839841,-39.274595841601595,32.010411680520015,59.477798899198035,-272918700.0,-0.03550816569734705,0.03532563648769638,0.08340487344878711,8.966616485240463,24.18899132671615,128.36087805168341,12.324635862575677,-0.5396237207690844,-56804856.14874524,38.609905,0.0,11.520555,12.92,0.67,3707648344064.0,7432540160.0,270010007552.0,0.69074994,0.45671,0.3361,32.626,1.372,57.060001373291016,0.6349999904632568,0.0,228.1905517578125,238.86077537870082,226.10471485273018,229.88703413807121,189554600.0,228.14086151123047,237.89044723510742,275.065842590332,233.72638031623083,241.750811049021,41.67474194194559,-12.628858327785537,-15.539355488928463,2.910497161142926,276.02476258751585,199.75613188269898,32.0604007396062,12.943421483388354,54.0158950985228,-45.9841049014772,-32.16079876043691,50.13183005118447,-2065589200.0,-0.0450048459565654,-0.0025932435873545767,0.031655888615599315,19.562491011579795,37.448705860860414,213.19287594950762,3.2300942377729736,-0.8934085096740679,-469053609.5403689,27.031727,0.0,1.4569219,0.0,1.21,573925818368.0,917782016.0,0.0,0.0,0.0,0.0,0.0,0.0,57.060001373291016,0.6349999904632568,0.0
2020-04-02,59.361534118652344,59.41485388495063,57.415373743181505,58.24909696369412,165934000.0,59.30894012451172,61.50909156799317,69.73881774902344,60.26834341184826,62.19844640489404,43.439977839788114,-2.8928599050206785,-3.323920476449057,0.4310605714283784,69.64139913448047,53.37678400150587,26.4426196491545,3.6811981912302403,64.79552274312138,-35.20447725687862,-64.621066057936,49.66090785722691,-2836878800.0,0.016686873520297407,-0.05227529764714267,0.0006129218483490462,4.1717857578571325,27.861113819668116,54.24570292213477,-3.136098796103625,-0.7507034791546917,394053016.6103059,33.21151,0.0,47.763363,6.43,0.51,3189540126720.0,14935799808.0,400366010368.0,0.46632,0.31028998,1.38015,146.994,0.821,50.90999984741211,0.6269999742507935,0.0,148.33920288085938,148.54939743751626,143.65762865412856,145.0907654066324,49630700.0,143.2860107421875,142.8092483520508,157.09284454345703,145.56020201757562,146.5000375894934,50.123490216472895,-2.5127254216490655,-4.496889089488369,1.9841636678393035,158.97178867797507,126.6467080261265,22.63514514981646,9.142731380835958,70.4896015798791,-29.510398420120886,43.98535416571918,57.69926572136681,-223288000.0,0.02070823699230795,-0.00544533716086848,0.08794027941259741,8.291208244550823,22.78362942273736,129.5238389120029,5.928853151984305,-0.4951567854993518,-11439322.163336143,38.609905,0.0,11.520555,12.92,0.67,3707648344064.0,7432540160.0,270010007552.0,0.69074994,0.45671,0.3361,32.626,1.372,50.90999984741211,0.6269999742507935,0.0,233.45616149902344,234.24413592016606,226.74439610420822,227.30062499188742,177660400.0,229.32061309814452,235.6256103515625,273.62757995605466,233.6772496221931,240.9608444252117,44.11035457694838,-11.799319261706898,-14.791348243484151,2.9920289817772527,268.84748033706325,202.40374036606175,28.198861690741033,12.554587078571888,74.48424206264185,-25.515757937358146,-22.267602208794465,47.75776894869172,-1887928800.0,0.023075494145785358,-0.03587284457022666,0.05322380201149324,17.042459710455642,36.61407243802154,215.66681079647864,0.20206392982350432,-0.8623843165676252,-328725664.87491107,27.031727,0.0,1.4569219,0.0,1.21,573925818368.0,917782016.0,0.0,0.0,0.0,0.0,0.0,0.0,50.90999984741211,0.6269999742507935,0.0
2020-04-03,58.50841522216797,59.548143090432646,57.91705333235699,58.845297125214294,129880000.0,59.60389289855957,60.93202896118164,69.36527038574219,59.94835646827002,61.847014863682034,42.338395789531795,-2.8430996597008544,-3.2277563130994165,0.38465665339856203,68.14416776235386,53.71989016000943,23.672734764066035,3.534761874576341,57.73852691241525,-42.26147308758475,-61.896286571999866,52.4484060370899,-2966758800.0,-0.014371577641156486,-0.025551026766671314,0.05308831537439618,3.6997491411180334,27.52708326774859,54.80800455132392,-2.1324074930175616,-0.7350310508380629,358350644.6266387,33.21151,0.0,47.763363,6.43,0.51,3189540126720.0,14935799808.0,400366010368.0,0.46632,0.31028998,1.38015,146.994,0.821,46.79999923706055,0.5870000123977661,0.0,146.9729461669922,150.3647059096182,145.40605063855412,148.1863393110243,41243300.0,144.86054077148438,142.43949813842772,156.85521270751954,145.8170645901968,146.54507650163612,49.31352140023102,-2.200418113798605,-4.037594894350416,1.837176780551811,157.8481777059636,127.03081857089185,21.63540277649837,8.843868801566538,66.05687021315383,-33.94312978684617,57.45794846437328,64.44059370300721,-264531300.0,-0.009210354965736967,0.027588214038777537,0.11998462814827904,7.904485835254315,21.727375471603505,130.6402813379096,9.565509682798693,-0.4515848922957499,-26617514.25993396,38.609905,0.0,11.520555,12.92,0.67,3707648344064.0,7432540160.0,270010007552.0,0.69074994,0.45671,0.3361,32.626,1.372,46.79999923706055,0.5870000123977661,0.0,230.08175659179688,234.83747004983854,227.3284502892979,232.46423889577542,135561200.0,231.11814727783204,233.42245178222657,272.1148236083984,233.0235236166665,239.92474082202932,42.87473105510417,-11.284113612658132,-14.08990131731895,2.8057877046608173,261.5947131650065,205.25019039944664,24.138433272103132,12.194189412998227,66.40795408586867,-33.59204591413134,-17.711734753723192,49.949617570537875,-2023490000.0,-0.014454126571599057,-0.020637448543099124,0.08474680888013086,14.452065154008395,35.763082970391494,217.94283085569197,4.020607874629772,-0.8309669339615506,-364875352.25759697,27.031727,0.0,1.4569219,0.0,1.21,573925818368.0,917782016.0,0.0,0.0,0.0,0.0,0.0,0.0,46.79999923706055,0.5870000123977661,0.0
2020-04-06,63.612552642822266,63.76765998471095,60.44004501427147,60.80843142300017,201820400.0,60.527289962768556,60.887192726135254,69.0982544708252,60.61457395455224,62.015161318838246,50.436553563318775,-2.364546058902917,-3.055114262260117,0.6905682033571998,68.02053732589566,53.75384812637485,23.431346660521875,3.6579392237168156,98.73270492216766,-1.2672950778323353,50.455660739350265,50.8020058772923,-2764938400.0,0.08723766318525095,0.030061745706029708,0.16980896342544338,3.6593285686588555,25.779075713739417,55.33656808276172,7.226915731219237,-0.7042596601402541,541356472.5917153,33.21151,0.0,47.763363,6.43,0.51,3189540126720.0,14935799808.0,400366010368.0,0.46632,0.31028998,1.38015,146.994,0.821,45.2400016784668,0.6759999990463257,0.0,157.90306091308594,159.07822933607605,150.55584186222103,153.17371106476554,67111700.0,147.6589813232422,143.13934860229492,156.86819854736328,148.0145184670857,147.62678930272656,55.507765397416954,-1.0587389257510438,-3.441823700630542,2.383084774879498,159.95786346636535,126.32083373822447,23.49949895440672,9.076826970674919,96.38023631582234,-3.619763684177647,136.41138708421872,64.28163820537881,-197419600.0,0.07436820878364125,0.031454866439490914,0.2153994392290004,8.627716082379335,21.78891142607219,131.71206606678007,15.80829401372868,-0.39551395047680404,21985862.59819169,38.609905,0.0,11.520555,12.92,0.67,3707648344064.0,7432540160.0,270010007552.0,0.69074994,0.45671,0.3361,32.626,1.372,45.2400016784668,0.6759999990463257,0.0,245.5354766845703,247.51935324530714,230.063211392009,239.02767466040095,188061200.0,235.0033706665039,233.06244354248048,270.9655184936523,235.2984241744672,240.45909661846179,49.808878181685614,-9.519093183778665,-13.175739690610893,3.656646506832228,260.4102606928378,205.7146263921231,23.468231719086603,12.570043158733936,95.60933091732916,-4.390669082670851,58.65946018047666,48.98480283270566,-1835428800.0,0.06716621222686037,0.012268446626463314,0.18797960280078696,14.02913418652488,33.52146801476592,220.03676931016824,10.771892513751133,-0.7875270416218435,-219560162.20635897,27.031727,0.0,1.4569219,0.0,1.21,573925818368.0,917782016.0,0.0,0.0,0.0,0.0,0.0,0.0,45.2400016784668,0.6759999990463257,0.0
